Feature,Importance
NY.ADJ.NNTY.PC.KD.ZG,0.0003481367
EG.GDP.PUSE.KO.PP,0.0003479265
SE.LPV.PRIM.SD.MA,0.00034732642
SM.POP.TOTL,0.00034606177
DT.DOD.MIDA.CD,0.0003445645
DC.ODA.TOTL.KD,0.00034410885
SE.SEC.NENR,0.0003439868
SL.EMP.1524.SP.ZS,0.00033775525
EG.ELC.NUCL.ZS,0.00033773237
NY.TAX.NIND.CN,0.00033563236
GE.EST,0.00033545395
AG.LND.PRCP.MM,0.0003354313
SH.DYN.MORT.FE,0.00033446768
SP.POP.5054.MA.5Y,0.00033185806
FD.RES.LIQU.AS.ZS,0.00033162668
TM.VAL.MRCH.R6.ZS,0.00032881528
NE.RSB.GNFS.KN,0.00032834767
FM.LBL.BMNY.GD.ZS,0.0003281692
SL.TLF.BASC.MA.ZS,0.00032783288
SH.STA.BFED.ZS,0.0003271053
BX.KLT.DINV.CD.WD,0.00032621165
SE.PRM.UNER.FE.ZS,0.00032453606
FM.AST.DOMS.CN,0.0003234829
SE.SEC.TCAQ.MA.ZS,0.0003223563
PA.NUS.FCRF,0.00032180749
IC.TAX.GIFT.ZS,0.00032085914
SH.FPL.SATM.ZS,0.00032082372
GC.TAX.TOTL.CN,0.00032070567
ER.FSH.PROD.MT,0.00032047983
NY.GDP.DISC.KN,0.00032001495
SE.PRM.CMPT.ZS,0.00031997278
GC.NFN.TOTL.CN,0.00031863857
DT.ODA.ODAT.GI.ZS,0.0003179682
GC.XPN.GSRV.ZS,0.00031789936
SE.PRM.NENR.FE,0.00031754054
SE.XPD.CTER.ZS,0.00031513567
MS.MIL.XPND.GD.ZS,0.00031507574
TM.TAX.TCOM.BC.ZS,0.00031319767
AG.LND.AGRI.K2,0.00031259164
MS.MIL.XPRT.KD,0.00031243332
EN.GHG.CO2.LU.DF.MT.CE.AR5,0.0003117375
SH.STA.MMRT.NE,0.00031077024
ST.INT.TRNR.CD,0.00030755345
DT.NFL.UNFP.CD,0.0003054166
TM.VAL.MRCH.XD.WD,0.0003049022
GC.TAX.OTHR.CN,0.00030488597
SP.REG.BRTH.ZS,0.00030457246
SH.STA.BASS.UR.ZS,0.00030095488
EG.USE.PCAP.KG.OE,0.00029650572
IQ.CPA.PUBS.XQ,0.0002954495
MS.MIL.TOTL.P1,0.0002950589
DT.DOD.DSTC.XP.ZS,0.00029500847
SH.UHC.TOT1.ZS,0.0002944666
NE.RSB.GNFS.CN,0.00029246378
SL.UEM.1524.ZS,0.0002921159
SE.PRE.TCAQ.ZS,0.00029175178
DC.DAC.KORL.CD,0.00029056106
EN.GHG.ALL.PC.CE.AR5,0.00028976167
GC.TAX.IMPT.ZS,0.00028966955
SH.PRV.SMOK,0.0002895587
NV.SRV.EMPL.KD,0.00028908282
GC.TAX.INTT.RV.ZS,0.00028889946
DT.DOD.DECT.GN.ZS,0.00028885243
IC.FRM.INFM.ZS,0.00028850333
DC.DAC.HUNL.CD,0.00028749192
NV.SRV.TOTL.KD.ZG,0.0002865435
EN.GHG.CH4.BU.MT.CE.AR5,0.00028615087
DC.DAC.NORL.CD,0.000285922
GC.REV.XGRT.GD.ZS,0.000284805
AG.LND.EL5M.RU.ZS,0.00028355603
ER.H2O.FWTL.ZS,0.0002824562
SL.UEM.TOTL.FE.NE.ZS,0.00028238806
GC.REV.GOTR.ZS,0.00028200896
SE.PRM.TENR.FE,0.00028120764
NY.GNP.MKTP.KD.ZG,0.00028102705
NE.IMP.GNFS.CD,0.0002805782
TM.VAL.TRAN.ZS.WT,0.00027903196
SL.MNF.0714.ZS,0.0002788754
AG.LND.EL5M.UR.K2,0.00027879846
SL.TLF.0714.SW.TM,0.00027599395
NE.GDI.FTOT.KD,0.00027544936
DT.DOD.MIBR.CD,0.00027416303
EN.GHG.CO2.LU.FL.MT.CE.AR5,0.00027244492
SP.POP.1519.MA.5Y,0.0002718783
SE.COM.DURS,0.00027174072
TG.VAL.TOTL.GD.ZS,0.00027082424
SE.XPD.CSEC.ZS,0.00027074417
per_si_allsi.cov_q5_tot,0.0002700159
SH.UHC.NOPR.ZS,0.00026990325
SH.XPD.GHED.GD.ZS,0.00026956137
BG.GSR.NFSV.GD.ZS,0.00026880112
BX.GSR.TRAN.ZS,0.00026878534
EN.POP.EL5M.ZS,0.00026848033
SL.TLF.INTM.MA.ZS,0.00026820434
EN.GHG.CO2.LU.MT.CE.AR5,0.0002679332
SP.POP.0004.MA.5Y,0.00026775137
SP.RUR.TOTL.ZG,0.00026545595
LP.LPI.ITRN.XQ,0.00026503255
TM.TAX.MRCH.SR.ZS,0.00026399427
SE.TER.ENRR.MA,0.00026207426
EN.GHG.CO2.BU.MT.CE.AR5,0.00026142516
SP.DYN.IMRT.MA.IN,0.00025843806
SH.ALC.PCAP.FE.LI,0.00025769477
EG.CFT.ACCS.UR.ZS,0.000256066
DT.NFL.UNTA.CD,0.0002548673
SL.AGR.0714.FE.ZS,0.00025463014
DC.DAC.USAL.CD,0.00025337288
EG.USE.COMM.GD.PP.KD,0.00025247503
SE.XPD.TERT.ZS,0.00025125896
HD.HCI.OVRL.LB.FE,0.00025035662
TX.UVI.MRCH.XD.WD,0.000249613
per_lm_alllm.cov_q2_tot,0.00024888667
NE.CON.TOTL.KD.ZG,0.00024863673
CM.MKT.TRAD.CD,0.00024848647
SL.WAG.0714.MA.ZS,0.0002481292
CC.EST,0.00024797177
NY.ADJ.SVNG.CD,0.0002472142
SL.UEM.1524.MA.ZS,0.00024711978
AG.PRD.FOOD.XD,0.00024422674
SH.STA.STNT.FE.ZS,0.00024348269
SP.POP.0014.MA.ZS,0.00024227762
SH.XPD.OOPC.PP.CD,0.00024172165
TM.VAL.MRCH.RS.ZS,0.0002416043
EG.IMP.CONS.ZS,0.0002415308
IQ.CPA.FINS.XQ,0.00024109254
SL.TLF.0714.WK.FE.ZS,0.00024038914
SH.UHC.NOP1.ZS,0.00024030579
GC.REV.SOCL.CN,0.00024017533
IT.NET.USER.ZS,0.00023998258
SE.PRM.ENRL.TC.ZS,0.0002387977
TX.VAL.TRVL.ZS.WT,0.00023752222
SP.DYN.CONM.ZS,0.00023722099
NE.GDI.FTOT.CD,0.00023608565
per_lm_alllm.cov_pop_tot,0.00023598541
TM.TAX.MANF.IP.ZS,0.0002344133
IQ.CPA.PRES.XQ,0.00023430694
SH.MED.CMHW.P3,0.0002339899
SE.SEC.TCHR,0.00023256258
FS.AST.DOMO.GD.ZS,0.00023239771
IQ.SPI.PIL3,0.0002309333
NY.GDS.TOTL.CN,0.00023080435
BM.GSR.NFSV.CD,0.00022998023
DT.TDS.DPPG.GN.ZS,0.00022969901
BX.GSR.NFSV.CD,0.00022912514
SP.POP.65UP.FE.IN,0.0002285276
FB.CBK.DPTR.P3,0.00022732513
IQ.SPI.PIL2,0.00022732206
SP.POP.65UP.FE.ZS,0.00022713152
SP.POP.1564.MA.ZS,0.00022596112
SE.TER.CUAT.BA.FE.ZS,0.00022584308
SL.TLF.ADVN.MA.ZS,0.00022579453
IQ.CPA.GNDR.XQ,0.00022570809
NY.ADJ.DRES.GN.ZS,0.00022554628
SN.ITK.SVFI.ZS,0.00022523954
EG.CFT.ACCS.RU.ZS,0.00022451968
EG.ELC.ACCS.RU.ZS,0.00022440242
DT.NFL.UNCD.CD,0.00022421045
SL.EMP.TOTL.SP.MA.ZS,0.00022384354
NY.GDP.PCAP.KD,0.00022364555
NY.TRF.NCTR.CD,0.00022326228
IC.EXP.CSDC.CD,0.0002230855
NE.IMP.GNFS.KD,0.00022273854
NY.GNP.PCAP.CD,0.00022207598
NY.ADJ.SVNX.CD,0.0002219823
DT.NFL.UNPB.CD,0.00022196869
NE.CON.PRVT.PP.CD,0.00022132759
ST.INT.DPRT,0.00022130054
EG.ELC.FOSL.ZS,0.00022090752
SH.STA.ARIC.ZS,0.00022025476
EG.CFT.ACCS.ZS,0.00021887885
SE.PRM.TCAQ.MA.ZS,0.00021840072
TM.VAL.MRCH.OR.ZS,0.00021837922
SE.TER.CUAT.ST.ZS,0.00021774374
SP.POP.4044.FE.5Y,0.00021704916
per_allsp.adq_pop_tot,0.00021691648
IQ.CPA.IRAI.XQ,0.00021684504
NY.GDP.PCAP.KN,0.00021677259
SP.POP.6064.MA.5Y,0.00021628653
SP.POP.2024.MA.5Y,0.00021585438
EN.GHG.CO2.PI.MT.CE.AR5,0.00021530657
EG.USE.COMM.FO.ZS,0.0002131089
NY.TRF.NCTR.KN,0.00021222953
SH.STA.ORTH,0.00021188486
IQ.CPA.TRAN.XQ,0.00021162136
SP.HOU.FEMA.ZS,0.00021037711
BN.TRF.CURR.CD,0.00021034447
SL.EMP.MPYR.FE.ZS,0.00020987022
IQ.CPA.REVN.XQ,0.0002097989
NY.GNS.ICTR.CN,0.00020978044
BM.KLT.DINV.CD.WD,0.00020888969
SP.DYN.LE00.IN,0.00020888633
NY.GNS.ICTR.GN.ZS,0.00020878158
SE.PRM.CMPT.MA.ZS,0.00020805014
IT.NET.SECR.P6,0.00020774174
SE.ADT.1524.LT.ZS,0.00020724724
BM.GSR.GNFS.CD,0.00020722889
DC.DAC.CECL.CD,0.00020702947
IC.FRM.DURS,0.0002069264
RL.STD.ERR,0.0002060456
IE.PPI.TRAN.CD,0.0002039745
SL.TLF.CACT.FE.NE.ZS,0.00020335273
BN.CAB.XOKA.GD.ZS,0.00020286882
DC.ODA.TLDC.CD,0.00020223661
SL.EMP.1524.SP.MA.NE.ZS,0.00020173218
SH.DYN.NCOM.MA.ZS,0.00020134906
