Feature,Importance
SL.UEM.TOTL.MA.ZS,0.00057785225
SE.PRM.NINT.MA.ZS,0.00057724095
IC.IMP.TMDC,0.0005767768
IC.LGL.DURS,0.0005719782
IC.BUS.DISC.XQ,0.0005714252
RQ.PER.RNK,0.0005696837
SH.STA.OWGH.ME.ZS,0.00056218496
SP.POP.4549.MA.5Y,0.0005619109
DT.NFL.UNFP.CD,0.0005589291
NV.MNF.TXTL.ZS.UN,0.000550476
EN.GHG.CO2.FE.MT.CE.AR5,0.00054773747
TM.VAL.MRCH.HI.ZS,0.0005454862
SH.HIV.ARTC.ZS,0.0005439506
TM.TAX.MANF.BC.ZS,0.0005417644
SP.POP.1014.MA.5Y,0.00054043654
TG.VAL.TOTL.GD.ZS,0.00053319865
SH.STA.SUIC.MA.P5,0.00052873365
SH.H2O.BASW.RU.ZS,0.00052677316
GC.DOD.TOTL.CN,0.0005193606
SP.POP.4549.FE.5Y,0.00050653855
LP.LPI.TIME.XQ,0.00050607824
NY.ADJ.NNAT.GN.ZS,0.00050159753
SL.WAG.0714.FE.ZS,0.0004974462
EG.CFT.ACCS.ZS,0.00049023906
TM.TAX.MRCH.IP.ZS,0.0004896938
SP.POP.TOTL.FE.ZS,0.00048791693
AG.LND.AGRI.ZS,0.00048625853
BN.TRF.KOGT.CD,0.0004822749
TX.VAL.FOOD.ZS.UN,0.00047695643
SL.EMP.TOTL.SP.NE.ZS,0.00047202688
SE.PRM.TENR.MA,0.00047193037
FX.OWN.TOTL.FE.ZS,0.00047017395
EN.POP.EL5M.ZS,0.00046971632
EN.GHG.CO2.LU.DF.MT.CE.AR5,0.00046460854
BM.TRF.PRVT.CD,0.00046407714
SL.TLF.PART.ZS,0.00046133163
IT.NET.SECR.P6,0.00046031337
GC.XPN.INTP.RV.ZS,0.00045157413
SN.ITK.DEFC.ZS,0.00044816828
GC.REV.SOCL.ZS,0.00044627304
IC.REG.DURS.FE,0.00044272703
NE.GDI.STKB.KN,0.0004380844
NV.MNF.TECH.ZS.UN,0.00043529345
SH.IMM.IDPT,0.0004344107
TM.TAX.TCOM.IP.ZS,0.0004331226
SH.UHC.FBP2.ZS,0.00043095616
DT.NFL.UNEC.CD,0.0004279984
DC.DAC.FRAL.CD,0.0004256123
IC.TAX.TOTL.CP.ZS,0.0004243415
IC.FRM.DURS,0.0004164123
SH.STA.WAST.ZS,0.00041598015
SL.UEM.ADVN.MA.ZS,0.00040966884
IT.MLT.MAIN.P2,0.00040943932
GC.TAX.YPKG.RV.ZS,0.00040912942
NY.GNP.MKTP.KD.ZG,0.00040622844
IT.NET.SECR,0.0004021286
BX.GSR.FCTY.CD,0.00040001274
NY.ADJ.DCO2.CD,0.00039921576
DT.DOD.PVLX.EX.ZS,0.0003880135
SE.PRM.TCAQ.ZS,0.00038451332
EG.EGY.PRIM.PP.KD,0.00037915446
DC.DAC.ESPL.CD,0.00037875213
EN.GHG.N2O.FE.MT.CE.AR5,0.00037152914
IC.FRM.TRNG.ZS,0.0003709069
SE.XPD.TOTL.GD.ZS,0.00036967912
LP.IMP.DURS.MD,0.000369659
FD.RES.LIQU.AS.ZS,0.0003681682
TM.TAX.MANF.SR.ZS,0.00036293827
SE.PRM.REPT.ZS,0.00036266574
TM.VAL.MRCH.RS.ZS,0.00035553996
SH.UHC.FBPR.ZS,0.00035499985
NY.GDP.DEFL.ZS,0.0003493481
SE.LPV.PRIM,0.00032585944
TM.VAL.MRCH.OR.ZS,0.00032411327
EN.GHG.N2O.PI.MT.CE.AR5,0.0003141855
EG.IMP.CONS.ZS,0.0003129161
SL.UEM.1524.NE.ZS,0.00030839484
TX.VAL.OTHR.ZS.WT,0.00030832886
SP.POP.SCIE.RD.P6,0.00029587076
SL.TLF.INTM.MA.ZS,0.00029328675
EN.CLC.DRSK.XQ,0.00029119232
TM.TAX.MANF.WM.FN.ZS,0.00028534888
FM.AST.DOMO.ZG.M3,0.00028444844
NY.ADJ.SVNX.CD,0.00028057693
BM.GSR.CMCP.ZS,0.0002763909
DT.NFL.MOTH.CD,0.00026951334
TX.VAL.INSF.ZS.WT,0.00026484695
EG.USE.COMM.FO.ZS,0.0002618631
IC.REG.PROC.FE,0.00026132204
VC.BTL.DETH,0.00025728744
SL.EMP.MPYR.FE.ZS,0.00025681467
GC.XPN.INTP.ZS,0.00025433776
SP.RUR.TOTL.ZG,0.00025339605
SN.ITK.SALT.ZS,0.00023961609
NE.CON.PRVT.CN.AD,0.00020995826
GC.NFN.TOTL.GD.ZS,0.00020612366
NY.GDP.DISC.CN,0.0002039398
SL.TLF.CACT.FM.NE.ZS,0.00019938883
IQ.CPA.TRAD.XQ,0.00019326479
SE.LPV.PRIM.LD,0.00017493714
CM.MKT.TRAD.CD,0.0001736023
SL.TLF.CACT.NE.ZS,0.00017094065
PV.PER.RNK,0.00015213902
DT.TDS.DPPG.XP.ZS,0.00013252982
NE.GDI.TOTL.KN,0.00012182235
DT.NFL.OFFT.CD,0.000120485805
NE.TRD.GNFS.ZS,0.000110736495
CM.MKT.LCAP.GD.ZS,8.701102e-05
RQ.PER.RNK.LOWER,7.5251824e-05
SH.SVR.WAST.FE.ZS,7.188512e-05
NV.MNF.FBTO.ZS.UN,7.055377e-05
SL.TLF.0714.WK.MA.TM,6.4314525e-05
AG.YLD.CREL.KG,5.6748493e-05
TM.TAX.TCOM.BR.ZS,5.434461e-05
NY.GDP.MKTP.KD.ZG,3.2413962e-05
SL.TLF.INTM.FE.ZS,3.1844687e-05
BX.GSR.TRAN.ZS,8.274588e-06
BN.CAB.XOKA.GD.ZS,7.752582e-06
TX.VAL.TRVL.ZS.WT,0.0
SH.HIV.INCD.14,0.0
SH.DYN.1014,0.0
VA.EST,0.0
SH.DYN.0509,0.0
VC.IDP.NWCV,0.0
SH.HIV.INCD.TL,0.0
SH.DTH.NCOM.ZS,0.0
SH.DTH.MORT,0.0
TX.VAL.TECH.CD,0.0
SH.DYN.NMRT,0.0
SP.POP.1564.FE.ZS,0.0
TX.VAL.TRAN.ZS.WT,0.0
SP.POP.1564.FE.IN,0.0
SH.DTH.IMRT,0.0
SH.DTH.2024,0.0
SH.DTH.1519,0.0
TX.VAL.TECH.MF.ZS,0.0
VC.IHR.PSRC.FE.P5,0.0
VC.IDP.NWDS,0.0
SH.DYN.1519,0.0
VA.NO.SRC,0.0
SH.DYN.2024,0.0
SH.FPL.SATM.ZS,0.0
SP.POP.2024.FE.5Y,0.0
SH.DYN.NCOM.MA.ZS,0.0
SP.POP.1564.TO,0.0
SH.H2O.BASW.UR.ZS,0.0
SH.H2O.BASW.ZS,0.0
SH.H2O.SMDW.RU.ZS,0.0
VA.PER.RNK.LOWER,0.0
SH.DYN.MORT.MA,0.0
SH.DYN.MORT.FE,0.0
SH.DYN.MORT,0.0
VA.PER.RNK.UPPER,0.0
SH.H2O.SMDW.UR.ZS,0.0
SH.H2O.SMDW.ZS,0.0
VA.STD.ERR,0.0
SH.HIV.0014,0.0
VA.PER.RNK,0.0
SP.POP.1564.MA.ZS,0.0
SP.POP.1564.MA.IN,0.0
SH.DYN.NCOM.ZS,0.0
SP.POP.7074.FE.5Y,0.0
TX.VAL.SERV.CD.WT,0.0
SH.HIV.PMTC.ZS,0.0
SH.STA.ARIC.ZS,0.0
SH.STA.BASS.RU.ZS,0.0
SH.STA.BASS.ZS,0.0
SH.STA.BRTC.ZS,0.0
TX.VAL.ICTG.ZS.UN,0.0
SH.STA.DIAB.ZS,0.0
TX.VAL.FUEL.ZS.UN,0.0
SH.STA.HYGN.RU.ZS,0.0
SP.POP.5559.FE.5Y,0.0
SH.STA.HYGN.UR.ZS,0.0
SH.STA.HYGN.ZS,0.0
SH.STA.MALN.FE.ZS,0.0
SP.POP.1519.FE.5Y,0.0
SH.STA.MALN.MA.ZS,0.0
SH.STA.MALN.ZS,0.0
SH.STA.MMRT,0.0
SH.STA.MMRT.NE,0.0
SH.STA.ODFC.RU.ZS,0.0
TX.UVI.MRCH.XD.WD,0.0
SH.STA.ODFC.ZS,0.0
SH.STA.ORCF.ZS,0.0
SH.STA.ORTH,0.0
SH.STA.OWGH.FE.ZS,0.0
TX.MNF.TECH.ZS.UN,0.0
SP.POP.1014.FE.5Y,0.0
SH.STA.ANVC.ZS,0.0
SH.STA.AIRP.P5,0.0
TX.VAL.MANF.ZS.UN,0.0
TX.VAL.MRCH.WL.CD,0.0
SP.POP.5054.FE.5Y,0.0
SH.IMM.MEAS,0.0
SP.POP.5054.MA.5Y,0.0
SP.POP.1519.MA.5Y,0.0
TX.VAL.MRCH.XD.WD,0.0
SH.MED.CMHW.P3,0.0
SH.DTH.0509,0.0
TX.VAL.MRCH.WR.ZS,0.0
SH.MLR.INCD.P3,0.0
SH.MLR.NETS.ZS,0.0
SH.MLR.TRET.ZS,0.0
SH.MMR.RISK,0.0
SH.STA.AIRP.FE.P5,0.0
TX.VAL.MRCH.R6.ZS,0.0
TX.VAL.MRCH.R5.ZS,0.0
SH.PRG.ANEM,0.0
SH.PRV.SMOK,0.0
TX.VAL.MRCH.R1.ZS,0.0
TX.VAL.MRCH.OR.ZS,0.0
TX.VAL.MRCH.HI.ZS,0.0
TX.VAL.MRCH.CD.WT,0.0
TX.VAL.MRCH.AL.ZS,0.0
TX.VAL.MMTL.ZS.UN,0.0
SH.SGR.PROC.P5,0.0
SH.MED.NUMW.P3,0.0
SH.ALC.PCAP.FE.LI,0.0
SH.CON.1524.MA.ZS,0.0
SE.SEC.TCAQ.UP.ZS,0.0
per_sa_allsa.cov_pop_tot,0.0
SE.SEC.CUAT.UP.MA.ZS,0.0
SE.SEC.CUAT.UP.ZS,0.0
SE.SEC.DURS,0.0
SE.SEC.ENRL,0.0
SE.SEC.ENRL.FE.ZS,0.0
SE.SEC.ENRL.GC,0.0
SE.SEC.ENRL.GC.FE.ZS,0.0
SE.SEC.ENRL.LO.TC.ZS,0.0
per_sa_allsa.ben_q1_tot,0.0
SE.SEC.ENRL.UP.TC.ZS,0.0
per_sa_allsa.adq_pop_tot,0.0
SE.SEC.ENRL.VO,0.0
SE.SEC.ENRL.VO.FE.ZS,0.0
SE.SEC.ENRR,0.0
SE.SEC.ENRR.FE,0.0
per_lm_alllm.cov_q5_tot,0.0
SE.SEC.NENR,0.0
SE.SEC.NENR.FE,0.0
SE.SEC.NENR.MA,0.0
SE.SEC.PROG.FE.ZS,0.0
SE.SEC.PROG.MA.ZS,0.0
SE.SEC.PROG.ZS,0.0
SE.SEC.TCAQ.FE.ZS,0.0
SE.SEC.TCAQ.LO.FE.ZS,0.0
SE.SEC.TCAQ.LO.MA.ZS,0.0
SE.SEC.TCAQ.LO.ZS,0.0
SE.SEC.TCAQ.MA.ZS,0.0
SE.SEC.TCAQ.UP.FE.ZS,0.0
SE.SEC.CUAT.UP.FE.ZS,0.0
SE.SEC.CUAT.PO.ZS,0.0
SE.SEC.CUAT.PO.MA.ZS,0.0
per_si_allsi.cov_pop_tot,0.0
SP.POP.3539.MA.5Y,0.0
SE.PRM.TCHR,0.0
per_si_allsi.cov_q4_tot,0.0
SE.PRM.TENR,0.0
SE.PRM.TENR.FE,0.0
SP.POP.3034.FE.5Y,0.0
SE.PRM.UNER,0.0
SE.PRM.UNER.FE,0.0
SE.PRM.UNER.FE.ZS,0.0
SP.POP.2529.MA.5Y,0.0
per_si_allsi.cov_q3_tot,0.0
per_si_allsi.cov_q2_tot,0.0
SE.PRM.UNER.MA,0.0
SE.PRM.UNER.MA.ZS,0.0
per_sa_allsa.cov_q1_tot,0.0
SE.PRM.UNER.ZS,0.0
per_si_allsi.adq_pop_tot,0.0
SE.SEC.CMPT.LO.FE.ZS,0.0
per_sa_allsa.cov_q5_tot,0.0
SE.SEC.CMPT.LO.MA.ZS,0.0
per_sa_allsa.cov_q4_tot,0.0
SE.SEC.CMPT.LO.ZS,0.0
per_sa_allsa.cov_q3_tot,0.0
per_sa_allsa.cov_q2_tot,0.0
SE.SEC.CUAT.LO.FE.ZS,0.0
SE.SEC.CUAT.LO.MA.ZS,0.0
SE.SEC.CUAT.LO.ZS,0.0
SE.SEC.CUAT.PO.FE.ZS,0.0
SE.SEC.TCAQ.UP.MA.ZS,0.0
SP.POP.4044.FE.5Y,0.0
SH.CON.1524.FE.ZS,0.0
SE.SEC.TCAQ.ZS,0.0
SE.XPD.SECO.PC.ZS,0.0
SE.XPD.SECO.ZS,0.0
SE.XPD.TERT.PC.ZS,0.0
per_lm_alllm.cov_pop_tot,0.0
per_lm_alllm.adq_pop_tot,0.0
SP.POP.4044.MA.5Y,0.0
SG.DMK.ALLD.FN.ZS,0.0
SG.DMK.SRCR.FN.ZS,0.0
SG.GEN.PARL.ZS,0.0
SP.POP.2529.FE.5Y,0.0
per_allsp.cov_pop_tot,0.0
SG.LAW.INDX,0.0
SG.TIM.UWRK.FE,0.0
SG.TIM.UWRK.MA,0.0
SG.VAW.1549.ZS,0.0
SG.VAW.ARGU.ZS,0.0
SG.VAW.BURN.ZS,0.0
SG.VAW.GOES.ZS,0.0
SG.VAW.NEGL.ZS,0.0
per_allsp.ben_q1_tot,0.0
SG.VAW.REFU.ZS,0.0
SH.STA.POIS.P5,0.0
SH.ALC.PCAP.LI,0.0
per_allsp.adq_pop_tot,0.0
SH.ALC.PCAP.MA.LI,0.0
SH.ANM.ALLW.ZS,0.0
SP.POP.2024.MA.5Y,0.0
SH.ANM.CHLD.ZS,0.0
SH.ANM.NPRG.ZS,0.0
SE.XPD.PRIM.ZS,0.0
per_lm_alllm.cov_q1_tot,0.0
SE.XPD.PRIM.PC.ZS,0.0
SE.TER.CUAT.MS.FE.ZS,0.0
per_lm_alllm.cov_q3_tot,0.0
SE.SEC.TCHR,0.0
SE.SEC.TCHR.FE,0.0
SE.SEC.TCHR.FE.ZS,0.0
SE.SEC.UNER.LO.FE.ZS,0.0
SE.SEC.UNER.LO.MA.ZS,0.0
SE.SEC.UNER.LO.ZS,0.0
SE.TER.CUAT.BA.FE.ZS,0.0
SE.TER.CUAT.BA.MA.ZS,0.0
SE.TER.CUAT.BA.ZS,0.0
SE.TER.CUAT.DO.FE.ZS,0.0
SE.TER.CUAT.DO.MA.ZS,0.0
SE.TER.CUAT.DO.ZS,0.0
SE.TER.CUAT.MS.MA.ZS,0.0
SE.XPD.CTOT.ZS,0.0
SE.TER.CUAT.MS.ZS,0.0
SE.TER.CUAT.ST.FE.ZS,0.0
per_lm_alllm.cov_q2_tot,0.0
SE.TER.CUAT.ST.MA.ZS,0.0
SE.TER.CUAT.ST.ZS,0.0
SE.TER.ENRL.TC.ZS,0.0
SE.TER.ENRR,0.0
SE.TER.ENRR.FE,0.0
SE.TER.ENRR.MA,0.0
SE.TER.TCHR.FE.ZS,0.0
SE.XPD.CPRM.ZS,0.0
SE.XPD.CSEC.ZS,0.0
SE.XPD.CTER.ZS,0.0
SH.STA.OWGH.ZS,0.0
TM.VAL.TRAN.ZS.WT,0.0
SH.STA.POIS.P5.FE,0.0
SL.TLF.ACTI.FE.ZS,0.0
SL.TLF.0714.WK.FE.ZS,0.0
SL.TLF.0714.WK.MA.ZS,0.0
SL.TLF.0714.WK.TM,0.0
SL.TLF.0714.WK.ZS,0.0
SL.TLF.0714.ZS,0.0
SL.TLF.ACTI.1524.FE.NE.ZS,0.0
SL.TLF.ACTI.1524.FE.ZS,0.0
SL.TLF.ACTI.1524.MA.NE.ZS,0.0
SP.DYN.TFRT.IN,0.0
SL.TLF.ACTI.1524.MA.ZS,0.0
SL.TLF.ACTI.1524.NE.ZS,0.0
SP.RUR.TOTL.ZS,0.0
SL.TLF.ACTI.1524.ZS,0.0
SL.TLF.ACTI.MA.ZS,0.0
SP.REG.BRTH.ZS,0.0
SL.TLF.ACTI.ZS,0.0
SL.TLF.ADVN.FE.ZS,0.0
SL.TLF.ADVN.MA.ZS,0.0
SP.POP.65UP.FE.IN,0.0
SL.TLF.ADVN.ZS,0.0
SL.TLF.BASC.FE.ZS,0.0
SL.TLF.BASC.MA.ZS,0.0
SL.TLF.BASC.ZS,0.0
SL.TLF.CACT.FE.NE.ZS,0.0
SP.POP.65UP.FE.ZS,0.0
SL.TLF.CACT.FE.ZS,0.0
SP.REG.DTHS.ZS,0.0
SL.TLF.CACT.MA.NE.ZS,0.0
SL.TLF.0714.WK.FE.TM,0.0
SL.TLF.0714.SW.ZS,0.0
SL.TLF.0714.SW.TM,0.0
SP.URB.GROW,0.0
SL.MNF.0714.FE.ZS,0.0
SL.MNF.0714.MA.ZS,0.0
SL.MNF.0714.ZS,0.0
ST.INT.TVLR.CD,0.0
SP.POP.6569.MA.5Y,0.0
SL.SLF.0714.FE.ZS,0.0
ST.INT.TRNX.CD,0.0
SL.SLF.0714.MA.ZS,0.0
ST.INT.TRNR.CD,0.0
SL.SLF.0714.ZS,0.0
SL.SRV.0714.FE.ZS,0.0
