Feature,Importance
SL.EMP.TOTL.SP.MA.NE.ZS,0.00056680606
IQ.CPA.TRAD.XQ,0.0005627436
NE.GDI.FTOT.KD,0.0005561578
EG.USE.ELEC.KH.PC,0.0005550083
IC.FRM.BRIB.ZS,0.0005544287
BX.GSR.CCIS.ZS,0.0005465781
SE.PRM.UNER.ZS,0.00053653517
NE.CON.PRVT.ZS,0.00053642
NY.ADJ.DCO2.CD,0.00053584547
NV.AGR.EMPL.KD,0.0005320456
SE.SEC.TCAQ.LO.MA.ZS,0.0005312025
SL.UEM.TOTL.FE.ZS,0.0005296784
SE.SEC.PROG.ZS,0.0005289054
NE.RSB.GNFS.ZS,0.00052648253
IC.TAX.LABR.CP.ZS,0.00052326324
NY.ADJ.AEDU.GN.ZS,0.0005209977
SL.TLF.ACTI.FE.ZS,0.0005209842
EG.EGY.PRIM.PP.KD,0.00051672844
DT.NFL.UNFP.CD,0.0005156856
IC.FRM.FEMO.ZS,0.0005155657
TG.VAL.TOTL.GD.ZS,0.0005127375
SE.SEC.CUAT.UP.ZS,0.0005123933
NE.CON.TOTL.KN,0.0005117624
IC.REG.PROC,0.0005025638
IC.CRD.PUBL.ZS,0.00050008233
SL.TLF.BASC.FE.ZS,0.00049679785
SP.POP.4044.FE.5Y,0.000489204
GE.EST,0.00048797877
EN.GHG.N2O.BU.MT.CE.AR5,0.00048605594
FR.INR.LNDP,0.00048338735
DT.DOD.DPNG.CD,0.0004810841
FB.CBK.DPTR.P3,0.0004791325
SH.STA.HYGN.RU.ZS,0.0004784692
SH.HIV.INCD.YG.P3,0.000477899
EN.GHG.CO2.PI.MT.CE.AR5,0.0004742969
NV.SRV.TOTL.CD,0.00047097408
AG.LND.PRCP.MM,0.0004665653
SH.DTH.NMRT,0.0004637154
SG.GEN.PARL.ZS,0.0004571946
EN.HPT.THRD.NO,0.0004565411
FB.BNK.CAPA.ZS,0.00045181488
IT.MLT.MAIN,0.00044921713
TX.VAL.MANF.ZS.UN,0.00044457588
SP.HOU.FEMA.ZS,0.00044322375
TM.VAL.MRCH.XD.WD,0.00043959965
EG.ELC.PETR.ZS,0.00043886888
SP.POP.80UP.FE.5Y,0.00043576595
per_si_allsi.cov_pop_tot,0.0004322464
EG.USE.PCAP.KG.OE,0.00043047557
BX.TRF.PWKR.DT.GD.ZS,0.00042614935
SL.TLF.CACT.MA.ZS,0.0004239505
SL.EMP.TOTL.SP.FE.NE.ZS,0.00041935092
NV.IND.TOTL.CD,0.00041450927
SL.FAM.0714.FE.ZS,0.00041188384
EN.GHG.CO2.LU.MT.CE.AR5,0.00041174237
DT.NFL.UNWN.CD,0.00041163614
ST.INT.TRNR.CD,0.00041133855
SH.DTH.1519,0.0004092364
NY.ADJ.DFOR.GN.ZS,0.00040102485
SL.TLF.0714.MA.ZS,0.00040010078
NY.GNS.ICTR.ZS,0.0003947533
BX.GSR.FCTY.CD,0.00039227988
SM.POP.TOTL,0.00039144026
SL.TLF.CACT.MA.NE.ZS,0.00038726797
SL.TLF.CACT.FM.NE.ZS,0.00038273772
SH.H2O.SMDW.UR.ZS,0.00038096018
SH.DYN.AIDS.FE.ZS,0.00037779697
SE.ENR.SECO.FM.ZS,0.00037292886
SH.HIV.PMTC.ZS,0.00037170266
NE.DAB.DEFL.ZS,0.00037120865
SH.MMR.RISK,0.00036931597
SH.XPD.OOPC.PP.CD,0.00036606955
IP.TMK.NRCT,0.0003658756
VC.IHR.PSRC.FE.P5,0.0003651309
DT.NFL.WHOL.CD,0.00036406226
EG.GDP.PUSE.KO.PP,0.00036378528
GE.PER.RNK.LOWER,0.00036100973
FR.INR.RINR,0.00035724862
NY.GDS.TOTL.CD,0.0003567041
SM.POP.NETM,0.0003562614
NY.ADJ.SVNX.CD,0.0003559001
FM.LBL.BMNY.GD.ZS,0.00035445462
GC.REV.XGRT.GD.ZS,0.0003501934
DT.NFL.UNIDO.CD,0.00034920103
EN.GHG.FGAS.IP.MT.CE.AR5,0.00034820582
TM.VAL.AGRI.ZS.UN,0.00034696236
FI.RES.XGLD.CD,0.0003463315
SL.EMP.TOTL.SP.FE.ZS,0.00034427742
NE.CON.PRVT.KD,0.0003410633
EN.GHG.ALL.LU.MT.CE.AR5,0.00033950538
SH.SVR.WAST.MA.ZS,0.00033937758
NE.GDI.STKB.KN,0.0003365042
SH.PRV.SMOK.MA,0.00033606007
SI.POV.LMIC.GP,0.00033336505
TM.VAL.OTHR.ZS.WT,0.0003322127
